duration,daily_price,cleaning_fee,service_fee,bath,bed,cleanliness,accuracy,check-in,communication,location,value,overall_rating,num_review,num_years,daily_original_price,Bundle,Weekend,Holiday,room_id,start_date,status,state,scrape_date,Total State Tax,check-in date,check-out date,daily_discount_rate,booked,week,weekly_occupancy_rate,weekly_revenue
2.0,50.5,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,6.33333333333333,7.33333333333333,50.5,1.0,1.0,1.0,6446647,2024-10-18,available,Rhode Island,2024-06-27,12.00%,2024-10-18,2024-10-20,1.0,1,42,1.0,353.5
2.0,50.5,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,7.102666666666665,7.734666666666666,50.5,1.0,1.0,1.0,6446647,2024-10-18,available,Rhode Island,2024-06-28,12.00%,2024-10-18,2024-10-20,1.0,1,42,1.0,353.5
2.0,50.5,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,6.33333333333333,7.33333333333333,50.5,1.0,1.0,1.0,6446647,2024-10-19,available,Rhode Island,2024-06-27,12.00%,2024-10-19,2024-10-21,1.0,1,42,1.0,353.5
2.0,50.0,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,7.102666666666665,7.734666666666666,50.0,1.0,1.0,1.0,6446647,2024-10-19,available,Rhode Island,2024-06-28,12.00%,2024-10-19,2024-10-21,1.0,1,42,1.0,350.0
2.0,50.0,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,6.33333333333333,7.33333333333333,50.0,1.0,1.0,1.0,6446647,2024-10-20,available,Rhode Island,2024-06-27,12.00%,2024-10-20,2024-10-22,1.0,1,42,1.0,350.0
2.0,50.0,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,7.102666666666665,7.734666666666666,50.0,1.0,1.0,1.0,6446647,2024-10-20,available,Rhode Island,2024-06-28,12.00%,2024-10-20,2024-10-22,1.0,1,42,1.0,350.0
2.0,50.0,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,6.33333333333333,7.33333333333333,50.0,1.0,0.0,0.0,6446647,2024-10-21,available,Rhode Island,2024-06-27,12.00%,2024-10-21,2024-10-23,1.0,1,43,1.0,350.0
2.0,50.0,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,7.102666666666665,7.734666666666666,50.0,1.0,0.0,0.0,6446647,2024-10-21,available,Rhode Island,2024-06-28,12.00%,2024-10-21,2024-10-23,1.0,1,43,1.0,350.0
2.0,50.0,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,6.33333333333333,7.33333333333333,50.0,1.0,0.0,0.0,6446647,2024-10-22,available,Rhode Island,2024-06-27,12.00%,2024-10-22,2024-10-24,1.0,1,43,1.0,350.0
2.0,50.0,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,7.102666666666665,7.734666666666666,50.0,1.0,0.0,0.0,6446647,2024-10-22,available,Rhode Island,2024-06-28,12.00%,2024-10-22,2024-10-24,1.0,1,43,1.0,350.0
